split,name,n,profile,term_count,oracle_depth,predicted_depth,correct_depth,depth2_score,depth2_T,depth2_CNOT,depth2_depth,depth2_ancilla,depth2_time_s,depth3_score,depth3_T,depth3_CNOT,depth3_depth,depth3_ancilla,depth3_time_s,depth4_score,depth4_T,depth4_CNOT,depth4_depth,depth4_ancilla,depth4_time_s,policy_score,policy_time_s,oracle_score,oracle_all_time_s
train,train_n20_0004_shallow,20,shallow,54,3,3,1,544.47,488,790,790,5,0.14320070800022222,531.55,476,774,774,5,0.4597312089972547,531.55,476,774,774,5,0.9309885000038776,531.55,0.4597312089972547,531.55,1.5339204170013545
train,train_n20_0005_mixed,20,mixed,134,4,4,1,1001.29,904,1482,1482,5,0.3851925410053809,979.54,884,1452,1452,5,1.4714758339978289,957.855,864,1423,1423,5,4.421137375000399,957.855,4.421137375000399,957.855,6.277805750003608
train,train_n20_0006_deep,20,deep,131,4,4,1,1329.54,1204,1932,1932,6,0.3906513330002781,1299.1550000000002,1176,1891,1891,6,1.5195514999941224,1264.42,1144,1844,1844,6,4.596731750003528,1264.42,4.596731750003528,1264.42,6.506934582997928
train,train_n20_0007_shallow,20,shallow,72,4,2,0,632.445,568,925,925,5,0.18778062499768566,619.525,556,909,909,5,0.6661483750067418,610.955,548,899,899,5,1.6549386659971788,632.445,0.18778062499768566,610.955,2.5088676660016063
train,train_n20_0008_mixed,20,mixed,161,4,4,1,1578.92,1432,2296,2296,6,0.47703883400390623,1552.885,1408,2261,2261,6,1.8276691249993746,1531.2,1388,2232,2232,6,5.45773837500019,1531.2,5.45773837500019,1531.2,7.762446334003471
train,train_n20_0009_deep,20,deep,223,4,4,1,2194.17,1996,3202,3202,5,0.707026042000507,2111.39,1920,3086,3086,5,2.7793908750027185,2037.31,1852,2982,2982,5,8.35389016699628,2037.31,8.35389016699628,2037.31,11.840307083999505
train,train_n20_0010_shallow,20,shallow,57,4,2,0,300.805,264,453,453,5,0.13668220800173003,292.235,256,443,443,5,0.47201687499909895,288.08000000000004,252,440,440,5,1.168518332997337,300.805,0.13668220800173003,288.08000000000004,1.777217415998166
train,train_n20_0011_mixed,20,mixed,114,4,4,1,1113.025,1008,1617,1617,5,0.3195363749982789,1095.69,992,1594,1594,5,1.2269298749961308,1087.1850000000002,984,1585,1585,5,3.6219921670053736,1087.1850000000002,3.6219921670053736,1087.1850000000002,5.168458416999783
train,train_n20_0012_deep,20,deep,208,4,4,1,2473.855,2252,3575,3575,6,0.6696567909966689,2395.49,2180,3466,3466,6,2.6446853340021335,2334.525,2124,3381,3381,6,8.124546624996583,2334.525,8.124546624996583,2334.525,11.438888749995385
train,train_n20_0013_shallow,20,shallow,48,2,2,1,439.29,392,634,634,5,0.08014537500275765,439.29,392,634,634,5,0.11439516699465457,439.29,392,634,634,5,0.11376704100257484,439.29,0.08014537500275765,439.29,0.30830758299998706
train,train_n20_0014_mixed,20,mixed,110,4,4,1,1148.085,1040,1669,1669,5,0.31980829099484254,1130.815,1024,1647,1647,5,1.2692799590004142,1117.895,1012,1631,1631,5,3.9001524170016637,1117.895,3.9001524170016637,1117.895,5.4892406669969205
train,train_n20_0015_deep,20,deep,154,4,4,1,1433.565,1300,2101,2101,5,0.4739979170044535,1413.88,1280,2072,2072,6,1.8522837920027087,1387.845,1256,2037,2037,6,5.691620040997805,1387.845,5.691620040997805,1387.845,8.017901750004967
train,train_n20_0016_shallow,20,shallow,53,2,2,1,372.69000000000005,332,554,554,4,0.04509604100167053,372.69000000000005,332,554,554,4,0.05513541599793825,372.69000000000005,332,554,554,4,0.0549538749983185,372.69000000000005,0.04509604100167053,372.69000000000005,0.15518533199792728
train,train_n20_0017_mixed,20,mixed,118,4,4,1,1306.945,1184,1889,1889,6,0.34275474999594735,1276.625,1156,1849,1849,6,1.334278207999887,1246.3049999999998,1128,1809,1809,6,4.098477624997031,1246.3049999999998,4.098477624997031,1246.3049999999998,5.775510582992865
train,train_n20_0018_deep,20,deep,173,4,4,1,1668.7900000000002,1516,2430,2430,5,0.5234134579950478,1572.8300000000002,1428,2294,2294,5,1.9666705420022481,1509.5149999999999,1368,2203,2203,6,5.727398333001474,1509.5149999999999,5.727398333001474,1509.5149999999999,8.21748233299877
train,train_n20_0019_shallow,20,shallow,62,4,4,1,343.24,308,528,528,2,0.16069941699970514,330.32000000000005,296,512,512,2,0.6260564170006546,321.74999999999994,288,502,502,2,1.834494665999955,321.74999999999994,1.834494665999955,321.74999999999994,2.621250500000315
train,train_n20_0020_mixed,20,mixed,76,4,3,0,647.8199999999999,580,948,948,6,0.20486637500289362,634.9,568,932,932,6,0.7819232080000802,606.5799999999999,540,892,892,7,2.162256792005792,634.9,0.7819232080000802,606.5799999999999,3.1490463750087656
train,train_n20_0021_deep,20,deep,302,4,4,1,3721.195,3392,5371,5371,7,1.0456866250024177,3612.1199999999994,3292,5216,5216,7,4.089959208002256,3511.81,3200,5074,5074,7,12.436987917004444,3511.81,12.436987917004444,3511.81,17.572633750009118
train,train_n20_0022_shallow,20,shallow,40,3,3,1,382.7,344,556,556,3,0.003333375003421679,382.7,344,556,556,3,0.0033199999961652793,382.7,344,556,556,3,0.0034047079971060157,382.7,0.0033199999961652793,382.7,0.010058082996692974
train,train_n20_0023_mixed,20,mixed,72,2,2,1,715.1600000000001,644,1040,1040,5,0.04886012500355719,715.1600000000001,644,1040,1040,5,0.06346262500301236,715.1600000000001,644,1040,1040,5,0.06316291699477006,715.1600000000001,0.04886012500355719,715.1600000000001,0.1754856670013396
train,train_n20_0024_deep,20,deep,203,4,4,1,2051.58,1864,2988,2988,6,0.6402865409982041,1994.965,1812,2909,2909,6,2.495875000000524,1955.75,1776,2854,2854,6,7.650012917001732,1955.75,7.650012917001732,1955.75,10.78617445800046
train,train_n20_0025_shallow,20,shallow,55,3,2,0,423.08500000000004,380,629,629,3,0.020283874997403473,423.08500000000004,380,629,629,3,0.020138332998612896,423.08500000000004,380,629,629,3,0.020323249998909887,423.08500000000004,0.020283874997403473,423.08500000000004,0.060745457994926255
train,train_n20_0026_mixed,20,mixed,135,4,4,1,1386.0900000000001,1256,2010,2010,6,0.39477812499535503,1320.71,1196,1918,1918,6,1.5056181249965448,1259.81,1140,1834,1834,6,4.477797958999872,1259.81,4.477797958999872,1259.81,6.378194208991772
train,train_n20_0027_deep,20,deep,189,4,4,1,1971.8899999999999,1788,2858,2858,8,0.5802022080024472,1897.875,1720,2755,2755,8,2.2550580840033945,1845.61,1672,2682,2682,8,6.862989833003667,1845.61,6.862989833003667,1845.61,9.698250125009508
train,train_n20_0028_shallow,20,shallow,71,2,2,1,730.625,660,1065,1065,4,0.0709593749998021,730.625,660,1065,1065,4,0.10442270800558617,730.625,660,1065,1065,4,0.10454349999781698,730.625,0.0709593749998021,730.625,0.27992558300320525
train,train_n20_0029_mixed,20,mixed,103,4,4,1,899.225,812,1313,1313,5,0.2937268750029034,847.025,764,1241,1241,5,1.090019957999175,812.29,732,1194,1194,5,3.1543524580047233,812.29,3.1543524580047233,812.29,4.538099291006802
train,train_n20_0030_deep,20,deep,155,4,4,1,1469.845,1332,2141,2141,6,0.4638003750005737,1387.065,1256,2025,2025,6,1.7411211669968907,1347.85,1220,1970,1970,6,5.1398417910022545,1347.85,5.1398417910022545,1347.85,7.344763332999719
train,train_n20_0031_shallow,20,shallow,65,2,2,1,554.235,500,819,819,3,0.0618729580019135,554.235,500,819,819,3,0.06208354200498434,554.235,500,819,819,3,0.06192512500274461,554.235,0.0618729580019135,554.235,0.18588162500964245
train,train_n24_0000_shallow,24,shallow,36,2,3,0,367.04,328,528,528,4,0.004106291999050882,367.04,328,528,528,4,0.004162332996202167,367.04,328,528,528,4,0.004253207996953279,367.04,0.004162332996202167,367.04,0.012521832992206328
train,train_n24_0001_mixed,24,mixed,115,4,4,1,1184.8850000000002,1072,1717,1717,6,0.45320687500498025,1150.1499999999999,1040,1670,1670,6,1.7685892499939655,1132.815,1024,1647,1647,6,5.352740125003038,1132.815,5.352740125003038,1132.815,7.574536250001984
train,train_n24_0002_deep,24,deep,210,4,4,1,2678.4350000000004,2440,3859,3859,6,0.9110707919971901,2600.07,2368,3750,3750,6,3.641482917002577,2534.82,2308,3660,3660,6,11.28353925000556,2534.82,11.28353925000556,2534.82,15.836092959005327
train,train_n24_0003_shallow,24,shallow,28,4,2,0,227.45,200,330,330,4,0.006081209001422394,227.45,200,330,330,4,0.006197833004989661,227.45,200,330,330,4,0.005953291998594068,227.45,0.006081209001422394,227.45,0.018232334005006123
train,train_n24_0004_mixed,24,mixed,108,4,2,0,956.36,864,1400,1400,5,0.4244811250027851,912.86,824,1340,1340,5,1.6575425419941894,904.2900000000001,816,1330,1330,5,4.885085584006447,956.36,0.4244811250027851,904.2900000000001,6.967109251003421
train,train_n24_0005_deep,24,deep,116,4,4,1,1243.695,1124,1799,1799,7,0.47154787500039674,1230.7749999999999,1112,1783,1783,7,1.854712333995849,1217.8550000000002,1100,1767,1767,7,5.594624458004546,1217.8550000000002,5.594624458004546,1217.8550000000002,7.9208846670007915
train,train_n24_0006_shallow,24,shallow,60,2,2,1,505.32,452,736,736,5,0.054000707998056896,505.32,452,736,736,5,0.06974770800297847,505.32,452,736,736,5,0.06957445800071582,505.32,0.054000707998056896,505.32,0.1933228740017512
train,train_n24_0007_mixed,24,mixed,75,2,2,1,571.83,512,845,846,5,0.16842912499851082,571.83,512,845,846,5,0.250765249998949,571.83,512,845,846,5,0.2509025830004248,571.83,0.16842912499851082,571.83,0.6700969579978846
train,train_n24_0008_deep,24,deep,144,4,4,1,1808.9499999999998,1644,2606,2606,6,0.6032941250014119,1761.1,1600,2540,2540,6,2.383530624996638,1715.38,1556,2476,2476,7,7.357706624999992,1715.38,7.357706624999992,1715.38,10.344531374998041
train,train_n24_0009_shallow,24,shallow,59,2,2,1,431.915,388,643,643,3,0.09932033299992327,431.915,388,643,643,3,0.145807208995393,431.915,388,643,643,3,0.14585141700081294,431.915,0.09932033299992327,431.915,0.3909789589961292
train,train_n24_0010_mixed,24,mixed,95,3,2,0,977.655,884,1423,1423,5,0.24228162499639438,969.085,876,1413,1413,5,0.6267382920050295,969.085,876,1413,1413,5,1.035499666002579,977.655,0.24228162499639438,969.085,1.904519583004003
train,train_n24_0011_deep,24,deep,225,4,4,1,2716.015,2472,3919,3919,7,0.9931206249966635,2628.82,2392,3796,3796,7,3.9054515000025276,2567.855,2336,3711,3711,7,11.930839958004071,2567.855,11.930839958004071,2567.855,16.829412083003263
train,train_n24_0012_shallow,24,shallow,52,2,2,1,570.115,512,819,819,5,0.048534292000113055,570.115,512,819,819,5,0.06193820799671812,570.115,512,819,819,5,0.06201037500431994,570.115,0.048534292000113055,570.115,0.17248287500115111
train,train_n24_0013_mixed,24,mixed,118,4,2,0,908.64,820,1336,1336,5,0.44217700000444893,895.7199999999999,808,1320,1320,5,1.7015533750018221,869.75,784,1286,1286,5,5.024342832999537,908.64,0.44217700000444893,869.75,7.168073208005808
train,train_n24_0014_deep,24,deep,184,4,4,1,2078.835,1888,3011,3011,7,0.7809758750008768,2022.22,1836,2932,2932,7,3.117085625002801,1969.955,1788,2859,2859,7,9.662905375000264,1969.955,9.662905375000264,1969.955,13.560966875003942
train,train_n24_0015_shallow,24,shallow,65,2,2,1,492.725,440,725,725,5,0.05830874999810476,492.725,440,725,725,5,0.07422966699959943,492.725,440,725,725,5,0.07521504200121854,492.725,0.05830874999810476,492.725,0.20775345899892272
train,train_n24_0016_mixed,24,mixed,108,4,4,1,904.615,816,1335,1335,5,0.4253605830017477,891.6949999999999,804,1319,1319,5,1.7102779170018039,883.125,796,1309,1309,5,5.373335292002594,883.125,5.373335292002594,883.125,7.508973792006145
train,train_n24_0017_deep,24,deep,161,4,4,1,1694.695,1540,2463,2463,5,0.674281208004686,1655.5449999999998,1504,2409,2409,5,2.6331533749980736,1622.8100000000002,1472,2362,2362,6,7.9724288750003325,1622.8100000000002,7.9724288750003325,1622.8100000000002,11.279863458003092
train,train_n24_0018_shallow,24,shallow,33,4,3,0,358.145,320,513,513,4,0.0038684999963152222,358.145,320,513,513,4,0.0038885829999344423,358.145,320,513,513,4,0.003766500005440321,358.145,0.0038885829999344423,358.145,0.011523583001689985
train,train_n24_0019_mixed,24,mixed,165,4,4,1,1392.65,1260,2050,2050,6,0.6792296659987187,1344.735,1216,1983,1983,6,2.6456685419980204,1314.2199999999998,1188,1940,1940,6,8.126060957998561,1314.2199999999998,8.126060957998561,1314.2199999999998,11.4509591659953
train,train_n24_0020_deep,24,deep,223,4,4,1,2252.9400000000005,2048,3283,3284,6,0.9639773330054595,2178.8599999999997,1980,3179,3180,6,3.8085630420027883,2117.83,1924,3093,3094,6,11.71100508300151,2117.83,11.71100508300151,2117.83,16.483545458009758
train,train_n24_0021_shallow,24,shallow,81,3,2,0,510.775,456,759,759,5,0.2867814580022241,506.62,452,756,756,5,1.0124647080010618,506.62,452,756,756,5,2.478861458999745,510.775,0.2867814580022241,506.62,3.778107625003031
train,train_n24_0022_mixed,24,mixed,133,4,4,1,1366.365,1240,1981,1981,5,0.5257841249986086,1340.395,1216,1947,1947,5,2.0454470420008874,1318.775,1196,1919,1919,5,6.251985208000406,1318.775,6.251985208000406,1318.775,8.823216374999902
train,train_n24_0023_deep,24,deep,219,4,4,1,2430.94,2212,3524,3524,6,0.9414776250050636,2361.34,2148,3428,3428,6,3.760950417003187,2313.49,2104,3362,3362,6,11.547983958000259,2313.49,11.547983958000259,2313.49,16.25041200000851
train,train_n24_0024_shallow,24,shallow,42,3,3,1,421.98,380,612,612,3,0.0048650000026100315,421.98,380,612,612,3,0.004859374996158294,421.98,380,612,612,3,0.004880374995991588,421.98,0.004859374996158294,421.98,0.014604749994759914
train,train_n24_0025_mixed,24,mixed,93,4,2,0,786.3199999999999,708,1160,1160,5,0.36371533399506006,764.7,688,1132,1132,5,1.4671304579969728,747.43,672,1110,1110,5,4.526138542001718,786.3199999999999,0.36371533399506006,747.43,6.356984333993751
train,train_n24_0026_deep,24,deep,145,4,4,1,1426.1499999999999,1292,2078,2078,6,0.5908460420032497,1369.6,1240,2000,2000,6,2.3178402920020744,1330.45,1204,1946,1946,6,7.039536541997222,1330.45,7.039536541997222,1330.45,9.948222876002546
train,train_n24_0027_shallow,24,shallow,52,2,2,1,444.15999999999997,396,648,648,5,0.05130779199680546,444.15999999999997,396,648,648,5,0.07454254199546995,444.15999999999997,396,648,648,5,0.07529237500421004,444.15999999999997,0.05130779199680546,444.15999999999997,0.20114270899648545
train,train_n24_0028_mixed,24,mixed,64,2,2,1,471.10499999999996,420,697,697,5,0.09509000000252854,471.10499999999996,420,697,697,5,0.15826470799947856,471.10499999999996,420,697,697,5,0.1601938340027118,471.10499999999996,0.09509000000252854,471.10499999999996,0.4135485420047189
train,train_n24_0029_deep,24,deep,165,4,4,1,1666.5700000000002,1512,2426,2426,6,0.6747653749989695,1636.12,1484,2384,2384,6,2.6640150410021306,1610.15,1460,2350,2350,6,8.160254500005976,1610.15,8.160254500005976,1610.15,11.499034916007076
train,train_n24_0030_shallow,24,shallow,60,2,2,1,496.465,440,721,721,7,0.12072674999944866,496.465,440,721,721,7,0.17699220799840987,496.465,440,721,721,7,0.17652704100328265,496.465,0.12072674999944866,496.465,0.47424599900114117
train,train_n24_0031_mixed,24,mixed,118,4,4,1,996.9,904,1476,1476,3,0.45687416599685093,979.6299999999999,888,1454,1454,3,1.8276239999977406,966.71,876,1438,1438,3,5.761775458006014,966.71,5.761775458006014,966.71,8.046273624000605
valid,valid_n16_0000_mixed,16,mixed,167,4,4,1,1834.025,1668,2657,2657,5,0.3661642919978476,1777.4099999999999,1616,2578,2578,5,1.4196931670012418,1733.91,1576,2518,2518,5,4.189650749998691,1733.91,4.189650749998691,1733.91,5.9755082089977805
valid,valid_n16_0001_deep,16,deep,225,4,4,1,2694.265,2452,3889,3889,7,0.5335766250063898,2633.17,2396,3802,3802,7,1.9859156250022352,2554.74,2324,3692,3692,7,6.016500333003933,2554.74,6.016500333003933,2554.74,8.535992583012558
valid,valid_n16_0002_shallow,16,shallow,64,4,3,0,470.585,420,689,689,5,0.11068800000066403,462.08,412,680,680,5,0.38321116699808044,453.64,404,672,672,5,0.9670278749981662,462.08,0.38321116699808044,453.64,1.4609270419969107
valid,valid_n16_0003_mixed,16,mixed,177,4,4,1,1566.39,1420,2286,2286,6,0.3938541669995175,1501.0749999999998,1360,2195,2195,6,1.4044458749995101,1457.64,1320,2136,2136,6,4.1183017090006615,1457.64,4.1183017090006615,1457.64,5.916601750999689
valid,valid_n16_0004_deep,16,deep,120,4,4,1,1106.715,1000,1611,1611,6,0.2450819160003448,1067.565,964,1557,1557,6,0.9112497910027741,1024.13,924,1498,1498,6,2.6685240840015467,1024.13,2.6685240840015467,1024.13,3.8248557910046657
valid,valid_n16_0005_shallow,16,shallow,33,4,3,0,305.945,272,441,441,4,0.0018046660043182783,305.945,272,441,441,4,0.0017692500041448511,305.945,272,441,441,4,0.0017563329965923913,305.945,0.0017692500041448511,305.945,0.005330249005055521
valid,valid_n16_0006_mixed,16,mixed,124,4,4,1,1052.905,952,1545,1545,5,0.25368908399832435,1013.69,916,1490,1490,5,0.9491368329981924,983.1750000000001,888,1447,1447,5,2.799498874999699,983.1750000000001,2.799498874999699,983.1750000000001,4.002324791996216
valid,valid_n16_0007_deep,16,deep,185,4,4,1,2143.5,1948,3092,3092,7,0.44247795899718767,2073.77,1884,2994,2994,7,1.6252249579993077,2012.8049999999998,1828,2909,2909,7,4.8658310000027996,2012.8049999999998,4.8658310000027996,2012.8049999999998,6.933533916999295
valid,valid_n16_0008_shallow,16,shallow,45,3,3,1,346.42,312,516,516,2,0.015461291994142812,346.42,312,516,516,2,0.015320665996114258,346.42,312,516,516,2,0.015350334004324395,346.42,0.015320665996114258,346.42,0.046132291994581465
valid,valid_n16_0009_mixed,16,mixed,90,4,4,1,615.59,552,909,910,5,0.18607979099760996,593.97,532,881,882,5,0.601623666996602,572.3499999999999,512,853,854,5,1.7172314580020611,572.3499999999999,1.7172314580020611,572.3499999999999,2.504934915996273
