dataset,index,name,n,anf_terms,method,strategy,T,CNOT,depth,t_depth_proxy,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,time_s,xag_gates,xag_and,xag_xor,xag_depth,caterpillar_commit,source,skipped,error,truth_table_hex
traditional,90,truth_n5_9,5,15,external_caterpillar_xag_api_best,best:xag_lowt,56,28,30,6,56,15,14,20,86.13,True,0.0,28,14,14,6,4c6f766,anf_xag_api,,,A0EE89AE
traditional,145,truth_n6_0,6,29,external_caterpillar_xag_api_best,best:xag_lowt,124,54,56,11,117,32,31,38,190.17,True,0.0,58,31,27,8,4c6f766,anf_xag_api,,,C4B032CCD7C524A5
traditional,146,truth_n6_1,6,36,external_caterpillar_xag_api_best,best:xag_fast_lowt,156,68,65,14,147,40,39,46,239.165,True,0.0,73,39,34,9,4c6f766,anf_xag_api,,,E51F30DC6A7EE39
traditional,155,truth_n6_10,6,36,external_caterpillar_xag_api_best,best:xag_lowt,152,68,70,12,145,39,38,45,233.22,True,0.0,72,38,34,9,4c6f766,anf_xag_api,,,7FCD9EB1A7CAD415
traditional,156,truth_n6_11,6,37,external_caterpillar_xag_api_best,best:xag_fast_lowt,168,72,72,10,156,43,42,49,257.52,True,0.0,78,42,36,9,4c6f766,anf_xag_api,,,E27A984D654821D0
traditional,157,truth_n6_12,6,29,external_caterpillar_xag_api_best,best:xag_fast_lowt,116,54,62,10,113,30,29,36,178.22,True,0.0,56,29,27,8,4c6f766,anf_xag_api,,,A491F0B2EA1FCA65
traditional,158,truth_n6_13,6,38,external_caterpillar_xag_api_best,best:xag_fast_lowt,168,72,76,15,157,43,42,49,257.59,True,0.0,78,42,36,9,4c6f766,anf_xag_api,,,24933B83757750A9
traditional,159,truth_n6_14,6,34,external_caterpillar_xag_api_best,best:xag_fast_lowt,128,66,59,12,130,33,32,39,196.825,True,0.0,65,32,33,9,4c6f766,anf_xag_api,,,23BED01D43CF2FDE
traditional,160,truth_n6_15,6,29,external_caterpillar_xag_api_best,best:xag_fast_lowt,136,56,59,12,124,35,34,41,208.365,True,0.0,62,34,28,8,4c6f766,anf_xag_api,,,BEB799193F22FAF8
traditional,161,truth_n6_16,6,35,external_caterpillar_xag_api_best,best:xag_fast_lowt,144,66,65,13,139,37,36,43,221.005,True,0.0,69,36,33,9,4c6f766,anf_xag_api,,,89FA6A688FB5D27B
traditional,162,truth_n6_17,6,31,external_caterpillar_xag_api_best,best:xag_fast_lowt,136,60,64,11,128,35,34,41,208.64,True,0.0,64,34,30,8,4c6f766,anf_xag_api,,,BF3C4C06434308BC
traditional,163,truth_n6_18,6,34,external_caterpillar_xag_api_best,best:xag_fast_lowt,140,64,67,12,135,36,35,42,214.915,True,0.0,67,35,32,9,4c6f766,anf_xag_api,,,6DADD6C795A76D79
traditional,164,truth_n6_19,6,33,external_caterpillar_xag_api_best,best:xag_fast_lowt,144,62,67,10,135,37,36,43,220.835,True,0.0,67,36,31,9,4c6f766,anf_xag_api,,,956269F0E5D7B875
traditional,147,truth_n6_2,6,37,external_caterpillar_xag_api_best,best:xag_fast_lowt,156,70,74,14,149,40,39,46,239.4,True,0.0,74,39,35,9,4c6f766,anf_xag_api,,,D261A7AB3AA2E4F9
traditional,165,truth_n6_20,6,30,external_caterpillar_xag_api_best,best:xag_lowt,140,56,68,14,127,36,35,42,214.53,True,0.0,63,35,28,8,4c6f766,anf_xag_api,,,5CABCC97663F1C97
traditional,166,truth_n6_21,6,35,external_caterpillar_xag_api_best,best:xag_fast_lowt,172,68,69,13,154,44,43,50,263.295,True,0.0,77,43,34,9,4c6f766,anf_xag_api,,,FF50BDE4382567B8
traditional,167,truth_n6_22,6,34,external_caterpillar_xag_api_best,best:xag_fast_lowt,164,66,66,11,148,42,41,48,251.11,True,0.0,74,41,33,9,4c6f766,anf_xag_api,,,2369B584FF5E9FF0
traditional,168,truth_n6_23,6,24,external_caterpillar_xag_api_best,best:xag_lowt,128,46,55,11,110,33,32,39,195.765,True,0.0,55,32,23,8,4c6f766,anf_xag_api,,,7E570DDF827050A8
traditional,169,truth_n6_24,6,37,external_caterpillar_xag_api_best,best:xag_fast_lowt,172,72,68,13,158,44,43,50,263.48,True,0.0,79,43,36,9,4c6f766,anf_xag_api,,,C17AF08A1745D6D8
traditional,170,truth_n6_25,6,31,external_caterpillar_xag_api_best,best:xag_fast_lowt,128,58,58,11,123,33,32,39,196.42,True,0.0,61,32,29,8,4c6f766,anf_xag_api,,,DC713D960C0FD195
traditional,171,truth_n6_26,6,32,external_caterpillar_xag_api_best,best:xag_fast_lowt,156,60,64,12,139,40,39,46,238.75,True,0.0,69,39,30,8,4c6f766,anf_xag_api,,,27209BDF1C11F735
traditional,172,truth_n6_27,6,36,external_caterpillar_xag_api_best,best:xag_fast_lowt,152,70,71,11,146,39,38,45,233.325,True,0.0,73,38,35,9,4c6f766,anf_xag_api,,,28F49481A0A04DC4
traditional,173,truth_n6_28,6,29,external_caterpillar_xag_api_best,best:xag_fast_lowt,124,56,56,12,118,32,31,38,190.26,True,0.0,59,31,28,8,4c6f766,anf_xag_api,,,AE340454CAC5B68C
traditional,174,truth_n6_29,6,25,external_caterpillar_xag_api_best,best:xag_fast_lowt,108,48,49,9,102,28,27,34,165.675,True,0.0,51,27,24,8,4c6f766,anf_xag_api,,,98AE43346C12ACE8
traditional,148,truth_n6_3,6,37,external_caterpillar_xag_api_best,best:xag_fast_lowt,156,70,70,14,149,40,39,46,239.34,True,0.0,74,39,35,9,4c6f766,anf_xag_api,,,CE177B4E0837B8A3
traditional,175,truth_n6_30,6,28,external_caterpillar_xag_api_best,best:xag_fast_lowt,128,54,54,11,118,33,32,39,196.15,True,0.0,59,32,27,8,4c6f766,anf_xag_api,,,62801C4510435A10
traditional,176,truth_n6_31,6,29,external_caterpillar_xag_api_best,best:xag_lowt,136,56,58,12,124,35,34,41,208.35,True,0.0,62,34,28,8,4c6f766,anf_xag_api,,,988C24C961B1CD22
traditional,149,truth_n6_4,6,34,external_caterpillar_xag_api_best,best:xag_fast_lowt,164,66,70,13,148,42,41,48,251.17,True,0.0,74,41,33,9,4c6f766,anf_xag_api,,,66B2BC5B50C187FC
traditional,150,truth_n6_5,6,34,external_caterpillar_xag_api_best,best:xag_lowt,152,66,69,13,142,39,38,45,233.095,True,0.0,71,38,33,9,4c6f766,anf_xag_api,,,10F1BC81448AAA9E
traditional,151,truth_n6_6,6,33,external_caterpillar_xag_api_best,best:xag_fast_lowt,152,64,65,12,140,39,38,45,232.935,True,0.0,70,38,32,9,4c6f766,anf_xag_api,,,E9C349E03602F8AC
traditional,152,truth_n6_7,6,29,external_caterpillar_xag_api_best,best:xag_fast_lowt,128,56,60,12,120,33,32,39,196.34,True,0.0,60,32,28,8,4c6f766,anf_xag_api,,,9132B63EF16287E4
traditional,153,truth_n6_8,6,31,external_caterpillar_xag_api_best,best:xag_fast_lowt,140,60,63,14,130,36,35,42,214.645,True,0.0,65,35,30,8,4c6f766,anf_xag_api,,,B7C93ACFE059A0EE
traditional,154,truth_n6_9,6,30,external_caterpillar_xag_api_best,best:xag_fast_lowt,136,56,61,11,125,35,34,41,208.405,True,0.0,62,34,28,8,4c6f766,anf_xag_api,,,366EB16F508EBAD7
